img_path,label
cnn_data\benign\benign (348).png,0
cnn_data\benign\benign (271).png,0
cnn_data\benign\benign (52).png,0
cnn_data\benign\benign (78).png,0
cnn_data\malignant\malignant (148).png,1
cnn_data\benign\benign (408).png,0
cnn_data\benign\benign (377).png,0
cnn_data\normal\normal (111).png,2
cnn_data\benign\benign (216).png,0
cnn_data\normal\normal (113).png,2
cnn_data\benign\benign (189).png,0
cnn_data\benign\benign (434).png,0
cnn_data\benign\benign (178).png,0
cnn_data\malignant\malignant (118).png,1
cnn_data\benign\benign (397).png,0
cnn_data\benign\benign (292).png,0
cnn_data\malignant\malignant (125).png,1
cnn_data\benign\benign (208).png,0
cnn_data\malignant\malignant (7).png,1
cnn_data\benign\benign (117).png,0
cnn_data\normal\normal (27).png,2
cnn_data\benign\benign (163).png,0
cnn_data\benign\benign (195).png,0
cnn_data\benign\benign (342).png,0
cnn_data\benign\benign (98).png,0
cnn_data\benign\benign (191).png,0
